INSERT INTO Candidate VALUES ('C001',  'Arpitha', 'Kulkarni', 9098288, 'BJP', 1 , 1751, 'EL002');
INSERT INTO Candidate VALUES ('C232',  'Laksh', 'Mendonsa', 9056950, 'DMK', 51 , 1278, 'EL004');
INSERT INTO Candidate VALUES ('C233',  'Saheli', 'Kumari', 6441468, 'BSP', 51 , 1365, 'EL004');
INSERT INTO Candidate VALUES ('C234',  'Sapthashree', 'Bhat', 9467171, 'TRS', 51 , 2469, 'EL004');
INSERT INTO Candidate VALUES ('C235',  'Sanchitha', 'Adiga', 8380072, 'BJP', 52 , 1398, 'EL003');
INSERT INTO Candidate VALUES ('C236',  'Manbir', 'Bangera', 7310026, 'INC', 52 , 1944, 'EL003');
INSERT INTO Candidate VALUES ('C237',  'Ajinkya', 'Dalvi', 5353912, 'TRS', 52 , 1986, 'EL003');
INSERT INTO Candidate VALUES ('C238',  'Ekapad', 'Almeida', 8608802, 'AAP', 52 , 2537, 'EL003');
INSERT INTO Candidate VALUES ('C239',  'Umang', 'Ramesh', 5654672, 'SS', 52 , 3042, 'EL003');
INSERT INTO Candidate VALUES ('C240',  'Akhil', 'Chavare', 7021248, 'BJP', 53 , 1534, 'EL006');
INSERT INTO Candidate VALUES ('C241',  'Anjali', 'Bhoja', 9758400, 'INC', 53 , 1619, 'EL006');
INSERT INTO Candidate VALUES ('C242',  'Vaishnavi', 'Shukla', 5765140, 'SS', 53 , 1968, 'EL006');
INSERT INTO Candidate VALUES ('C243',  'Orinder', 'Hiremath', 5447816, 'SP', 53 , 2087, 'EL006');
INSERT INTO Candidate VALUES ('C244',  'Monisha', 'Shah', 9622330, 'DMK', 53 , 2092, 'EL006');
INSERT INTO Candidate VALUES ('C245',  'Taara', 'Bangera', 5634708, 'BJP', 54 , 1012, 'EL003');
INSERT INTO Candidate VALUES ('C246',  'Anirudh', 'Rai', 5173654, 'INC', 54 , 1022, 'EL003');
INSERT INTO Candidate VALUES ('C247',  'Yashika', 'Anand', 9686834, 'TMC', 54 , 1027, 'EL003');
INSERT INTO Candidate VALUES ('C248',  'Sneha', 'Bhat', 9875039, 'JDU', 54 , 1655, 'EL003');
INSERT INTO Candidate VALUES ('C249',  'Anitha', 'Ramesh', 7852210, 'DMK', 54 , 1853, 'EL003');
INSERT INTO Candidate VALUES ('C250',  'Shylaja', 'Kaur', 8105690, 'BJP', 55 , 1083, 'EL007');
INSERT INTO Candidate VALUES ('C251',  'Dona', 'Chatterjee', 9982587, 'INC', 55 , 1668, 'EL007');
INSERT INTO Candidate VALUES ('C252',  'Abhishek', 'Shetty', 6890393, 'TMC', 55 , 2370, 'EL007');
INSERT INTO Candidate VALUES ('C253',  'Akshay', 'Saha', 9080437, 'DMK', 55 , 2801, 'EL007');
INSERT INTO Candidate VALUES ('C254',  'Joseph', 'Shroff', 8611012, 'BSP', 55 , 2927, 'EL007');
INSERT INTO Candidate VALUES ('C255',  'Shambhavi', 'Andrade', 5056260, 'BJP', 56 , 1060, 'EL002');
INSERT INTO Candidate VALUES ('C256',  'Raunak', 'Bangera', 9595470, 'INC', 56 , 1250, 'EL002');
INSERT INTO Candidate VALUES ('C257',  'Anusree', 'Dsouza', 5028915, 'BSP', 56 , 2253, 'EL002');
INSERT INTO Candidate VALUES ('C258',  'Sanjana', 'Nand', 8709457, 'AAP', 56 , 2321, 'EL002');
INSERT INTO Candidate VALUES ('C259',  'Supriya', 'Gatty', 9861896, 'DMK', 56 , 3953, 'EL002');
INSERT INTO Candidate VALUES ('C260',  'Rebecca', 'Dawangave', 7138214, 'BJP', 57 , 1232, 'EL001');
INSERT INTO Candidate VALUES ('C261',  'Udarsh', 'Kavser', 8143905, 'INC', 57 , 1348, 'EL001');
INSERT INTO Candidate VALUES ('C262',  'Vaishnavi', 'Hiremath', 5642235, 'TMC', 57 , 1525, 'EL001');
INSERT INTO Candidate VALUES ('C263',  'Saanvi', 'Ramesh', 5322260, 'DMK', 57 , 1654, 'EL001');
INSERT INTO Candidate VALUES ('C264',  'Nehrika', 'Fernandes', 7579916, 'SS', 57 , 1889, 'EL001');
INSERT INTO Candidate VALUES ('C265',  'Neeti', 'Prajapati', 5473414, 'BJP', 58 , 1170, 'EL005');
INSERT INTO Candidate VALUES ('C266',  'Raunak', 'Shayana', 8096345, 'INC', 58 , 1916, 'EL005');
INSERT INTO Candidate VALUES ('C267',  'Saksham', 'Bhardwaj', 8927990, 'DMK', 58 , 1995, 'EL005');
INSERT INTO Candidate VALUES ('C268',  'Aarush', 'Anchan', 6582440, 'TMC', 58 , 2016, 'EL005');
INSERT INTO Candidate VALUES ('C269',  'Chakradev', 'Dhamdhame', 9559279, 'SS', 58 , 2027, 'EL005');
INSERT INTO Candidate VALUES ('C270',  'Parv', 'Adiga', 6394781, 'BJP', 59 , 1116, 'EL003');
INSERT INTO Candidate VALUES ('C271',  'Pavati', 'Gatty', 5147590, 'INC', 59 , 1194, 'EL003');
INSERT INTO Candidate VALUES ('C272',  'Rachana', 'Prabhakaran', 7029543, 'SS', 59 , 1411, 'EL003');
INSERT INTO Candidate VALUES ('C273',  'Idhant', 'Bhardwaj', 9886563, 'BSP', 59 , 1664, 'EL003');
INSERT INTO Candidate VALUES ('C274',  'Meenakshi', 'Saha', 6832265, 'AAP', 59 , 1785, 'EL003');
INSERT INTO Candidate VALUES ('C275',  'Aashish', 'Bhat', 5787093, 'BJP', 60 , 1058, 'EL004');
INSERT INTO Candidate VALUES ('C276',  'Vishishta', 'Dsouza', 9947692, 'INC', 60 , 1098, 'EL004');
INSERT INTO Candidate VALUES ('C277',  'Ayaan', 'Shah', 9109545, 'DMK', 60 , 1136, 'EL004');
INSERT INTO Candidate VALUES ('C278',  'Rathi', 'Bangera', 5390063, 'SP', 60 , 1183, 'EL004');
INSERT INTO Candidate VALUES ('C279',  'Dwarakanath', 'Bharanya', 7469692, 'TRS', 60 , 1233, 'EL004');
INSERT INTO Candidate VALUES ('C280',  'Krishna', 'Sullad', 7972949, 'BJP', 61 , 1002, 'EL001');
INSERT INTO Candidate VALUES ('C281',  'Sonika', 'Andrade', 5245965, 'INC', 61 , 1322, 'EL001');
INSERT INTO Candidate VALUES ('C282',  'Noelle', 'Saldanha', 8782338, 'SS', 61 , 1342, 'EL001');
INSERT INTO Candidate VALUES ('C283',  'Ajinkya', 'Mendonsa', 9497690, 'DMK', 61 , 3469, 'EL001');
INSERT INTO Candidate VALUES ('C284',  'Faraj', 'Dalvi', 8689757, 'AAP', 61 , 4040, 'EL001');
INSERT INTO Candidate VALUES ('C285',  'Nitesh', 'Prajapati', 6263051, 'BJP', 62 , 1901, 'EL007');
INSERT INTO Candidate VALUES ('C286',  'Deepak', 'Pai', 6911042, 'INC', 62 , 1929, 'EL007');
INSERT INTO Candidate VALUES ('C287',  'Mitesh', 'Gugale', 7278100, 'DMK', 62 , 2866, 'EL007');
INSERT INTO Candidate VALUES ('C288',  'Taahira', 'Jain', 8071057, 'SP', 62 , 2986, 'EL007');
INSERT INTO Candidate VALUES ('C289',  'Niva', 'Keshri', 5743611, 'AAP', 62 , 4122, 'EL007');
INSERT INTO Candidate VALUES ('C290',  'Arjun', 'Saha', 7859161, 'BJP', 63 , 1042, 'EL006');
INSERT INTO Candidate VALUES ('C291',  'Anjali', 'Pai', 9972638, 'INC', 63 , 1209, 'EL006');
INSERT INTO Candidate VALUES ('C292',  'Prakruthi', 'Dalvi', 6359618, 'TRS', 63 , 1495, 'EL006');
INSERT INTO Candidate VALUES ('C293',  'Charan', 'Gugale', 9796418, 'SP', 63 , 1560, 'EL006');
INSERT INTO Candidate VALUES ('C294',  'Vivek', 'Uchil', 5125897, 'TMC', 63 , 1645, 'EL006');
INSERT INTO Candidate VALUES ('C295',  'Shahistha', 'Bhoja', 6189040, 'BJP', 64 , 1078, 'EL002');
INSERT INTO Candidate VALUES ('C296',  'Saksham', 'Kumar', 7969313, 'INC', 64 , 1123, 'EL002');
INSERT INTO Candidate VALUES ('C297',  'Joseph', 'Sheikh', 7625561, 'BSP', 64 , 1234, 'EL002');
INSERT INTO Candidate VALUES ('C298',  'Rushil', 'Belligatti', 6335704, 'AAP', 64 , 1321, 'EL002');
INSERT INTO Candidate VALUES ('C299',  'Reshma', 'Sheikh', 9223279, 'DMK', 64 , 1423, 'EL002');
INSERT INTO Candidate VALUES ('C300',  'Chandran', 'Babu', 9592347, 'BJP', 65 , 1062, 'EL008');
INSERT INTO Candidate VALUES ('C301',  'Trupti', 'Bangera', 6774859, 'INC', 65 , 1081, 'EL008');
INSERT INTO Candidate VALUES ('C302',  'Aarush', 'Bangera', 7539722, 'BSP', 65 , 1120, 'EL008');
INSERT INTO Candidate VALUES ('C303',  'Warinder', 'Saha', 9148398, 'SP', 65 , 1158, 'EL008');
INSERT INTO Candidate VALUES ('C304',  'Ananth', 'Gatty', 5201546, 'TMC', 65 , 1175, 'EL008');
INSERT INTO Candidate VALUES ('C305',  'Ronith', 'Bhoja', 6816656, 'BJP', 66 , 1026, 'EL001');
INSERT INTO Candidate VALUES ('C306',  'Samesh', 'Shah', 9255163, 'INC', 66 , 1082, 'EL001');
INSERT INTO Candidate VALUES ('C307',  'Chanakya', 'Kavser', 9147431, 'TRS', 66 , 1196, 'EL001');
INSERT INTO Candidate VALUES ('C308',  'Zayan', 'Sullad', 9672577, 'DMK', 66 , 1257, 'EL001');
INSERT INTO Candidate VALUES ('C309',  'Vidya', 'Mugeraya', 9248719, 'AAP', 66 , 1304, 'EL001');
INSERT INTO Candidate VALUES ('C310',  'Savitha', 'Adiga', 5043130, 'BJP', 67 , 1037, 'EL004');
INSERT INTO Candidate VALUES ('C311',  'Faraj', 'Saha', 8318047, 'INC', 67 , 1130, 'EL004');
INSERT INTO Candidate VALUES ('C312',  'Dinella', 'Ramesh', 5613307, 'SP', 67 , 1144, 'EL004');
INSERT INTO Candidate VALUES ('C313',  'Harish', 'Jain', 9638460, 'SS', 67 , 1199, 'EL004');
INSERT INTO Candidate VALUES ('C314',  'Atiksh', 'Saldanha', 9233775, 'TRS', 67 , 1220, 'EL004');
INSERT INTO Candidate VALUES ('C315',  'Nirav', 'Kavser', 7093535, 'BJP', 68 , 1001, 'EL006');
INSERT INTO Candidate VALUES ('C316',  'Ranjani', 'Vernekar', 6672022, 'INC', 68 , 1016, 'EL006');
INSERT INTO Candidate VALUES ('C317',  'Balveer', 'Shenoy', 9055076, 'BSP', 68 , 1056, 'EL006');
INSERT INTO Candidate VALUES ('C318',  'Laksh', 'Dsouza', 6402414, 'TMC', 68 , 1070, 'EL006');
INSERT INTO Candidate VALUES ('C319',  'Vidyalaxmi', 'Adiga', 5641174, 'JDU', 68 , 1074, 'EL006');
INSERT INTO Candidate VALUES ('C320',  'Balendra', 'Holla', 9112440, 'BJP', 69 , 1040, 'EL008');
INSERT INTO Candidate VALUES ('C321',  'Pratima', 'Jain', 7777304, 'INC', 69 , 1157, 'EL008');
INSERT INTO Candidate VALUES ('C322',  'Arundhati', 'Almeida', 7574768, 'DMK', 69 , 1192, 'EL008');
INSERT INTO Candidate VALUES ('C323',  'Shubha', 'Saldanha', 8741787, 'JDU', 69 , 1210, 'EL008');
INSERT INTO Candidate VALUES ('C324',  'Bharathy', 'Shayana', 9427142, 'TMC', 69 , 1287, 'EL008');
INSERT INTO Candidate VALUES ('C325',  'Faraj', 'Dalvi', 7279716, 'BJP', 70 , 1053, 'EL007');
INSERT INTO Candidate VALUES ('C326',  'Bharathy', 'Shetty', 8689438, 'INC', 70 , 1494, 'EL007');
INSERT INTO Candidate VALUES ('C327',  'Idhant', 'Pai', 6080613, 'TMC', 70 , 1672, 'EL007');
INSERT INTO Candidate VALUES ('C328',  'Pratyush', 'Belligatti', 7259181, 'AAP', 70 , 1707, 'EL007');
INSERT INTO Candidate VALUES ('C329',  'Yash', 'Nayak', 6587410, 'DMK', 70 , 1959, 'EL007');
INSERT INTO Candidate VALUES ('C330',  'Sarita', 'Kaur', 5845546, 'BJP', 71 , 1090, 'EL002');
INSERT INTO Candidate VALUES ('C331',  'Girish', 'Shukla', 6471501, 'INC', 71 , 1186, 'EL002');
INSERT INTO Candidate VALUES ('C332',  'Rashmitha', 'Bal', 6815956, 'SS', 71 , 1328, 'EL002');
INSERT INTO Candidate VALUES ('C333',  'Neel', 'Gamskar', 6560215, 'TMC', 71 , 1385, 'EL002');
INSERT INTO Candidate VALUES ('C334',  'Champak', 'Gatty', 7255533, 'AAP', 71 , 1502, 'EL002');
INSERT INTO Candidate VALUES ('C335',  'Laksh', 'Shukla', 8735847, 'BJP', 72 , 1317, 'EL005');
INSERT INTO Candidate VALUES ('C336',  'Girindra', 'Fernandes', 9768980, 'INC', 72 , 1373, 'EL005');
INSERT INTO Candidate VALUES ('C337',  'Manvitha', 'Saha', 6864682, 'JDU', 72 , 2044, 'EL005');
INSERT INTO Candidate VALUES ('C338',  'Monisha', 'Gupta', 8324559, 'DMK', 72 , 2618, 'EL005');
INSERT INTO Candidate VALUES ('C339',  'Hiya', 'Babu', 5498844, 'BSP', 72 , 2631, 'EL005');
INSERT INTO Candidate VALUES ('C340',  'Tanmay', 'Singh', 6575409, 'BJP', 73 , 1092, 'EL001');
INSERT INTO Candidate VALUES ('C341',  'Shreedevi', 'Mardhekar', 9557345, 'INC', 73 , 1102, 'EL001');
INSERT INTO Candidate VALUES ('C342',  'Dharmesh', 'Kaur', 5191963, 'DMK', 73 , 1211, 'EL001');
INSERT INTO Candidate VALUES ('C343',  'Kavya', 'Moolya', 5294262, 'AAP', 73 , 1281, 'EL001');
INSERT INTO Candidate VALUES ('C344',  'Ayush', 'Vernekar', 7907526, 'BSP', 73 , 1284, 'EL001');
INSERT INTO Candidate VALUES ('C345',  'Fitan', 'Taj', 8053478, 'BJP', 74 , 1397, 'EL003');
INSERT INTO Candidate VALUES ('C346',  'Darsh', 'Prabhakaran', 6806026, 'INC', 74 , 1456, 'EL003');
INSERT INTO Candidate VALUES ('C347',  'Veer', 'Fernandes', 7817714, 'SS', 74 , 1822, 'EL003');
INSERT INTO Candidate VALUES ('C348',  'Gautam', 'Gatty', 9652951, 'AAP', 74 , 2036, 'EL003');
INSERT INTO Candidate VALUES ('C349',  'Prithvi', 'Shenoy', 9657481, 'TRS', 74 , 2269, 'EL003');
INSERT INTO Candidate VALUES ('C350',  'Vivek', 'Prajapati', 6077222, 'BJP', 75 , 1245, 'EL007');
INSERT INTO Candidate VALUES ('C351',  'Akshatha', 'Acharya', 9578777, 'INC', 75 , 1399, 'EL007');
INSERT INTO Candidate VALUES ('C352',  'Akshitha', 'Babu', 9421040, 'SP', 75 , 1508, 'EL007');
INSERT INTO Candidate VALUES ('C353',  'Harshitha', 'Padmanabha', 8721727, 'TRS', 75 , 1539, 'EL007');
INSERT INTO Candidate VALUES ('C354',  'Nagraj', 'Nayak', 7260685, 'BSP', 75 , 1632, 'EL007');
INSERT INTO Candidate VALUES ('C355',  'Ashwini', 'Andrade', 9371516, 'DMK', 75 , 1865, 'EL007');
INSERT INTO Candidate VALUES ('C356',  'Sita', 'Mardhekar', 5047516, 'BJP', 76 , 2742, 'EL004');
INSERT INTO Candidate VALUES ('C357',  'Pranay', 'Chavare', 9587985, 'INC', 76 , 2865, 'EL004');
INSERT INTO Candidate VALUES ('C358',  'Shreya', 'Gugale', 6544018, 'DMK', 76 , 3833, 'EL004');
INSERT INTO Candidate VALUES ('C359',  'Saksham', 'Adiga', 8204079, 'AAP', 76 , 4596, 'EL004');
INSERT INTO Candidate VALUES ('C360',  'Neha', 'Chatterjee', 5394707, 'BJP', 77 , 1445, 'EL003');
INSERT INTO Candidate VALUES ('C361',  'Mallika', 'Fernandes', 7846187, 'INC', 77 , 1700, 'EL003');
INSERT INTO Candidate VALUES ('C362',  'Neha', 'Adiga', 7943695, 'SS', 77 , 1842, 'EL003');
INSERT INTO Candidate VALUES ('C363',  'Shreedevi', 'Tipparti', 7267820, 'AAP', 77 , 1893, 'EL003');
INSERT INTO Candidate VALUES ('C364',  'Hredhaan', 'Kouser', 8797852, 'DMK', 77 , 1981, 'EL003');
INSERT INTO Candidate VALUES ('C365',  'Siddharth', 'Belligatti', 5589726, 'TRS', 77 , 2135, 'EL003');
INSERT INTO Candidate VALUES ('C366',  'Pahal', 'Kini', 6199512, 'JDU', 77 , 2413, 'EL003');
INSERT INTO Candidate VALUES ('C367',  'Noelle', 'Saldanha', 9195039, 'BJP', 78 , 1132, 'EL008');
INSERT INTO Candidate VALUES ('C368',  'Mehar', 'Chavare', 9509787, 'INC', 78 , 1150, 'EL008');
INSERT INTO Candidate VALUES ('C369',  'Maanas', 'Shah', 6137956, 'SP', 78 , 1206, 'EL008');
INSERT INTO Candidate VALUES ('C370',  'Meghana', 'Babu', 5432413, 'JDU', 78 , 1416, 'EL008');
INSERT INTO Candidate VALUES ('C371',  'Ramya', 'Das', 6497795, 'TRS', 78 , 1493, 'EL008');
INSERT INTO Candidate VALUES ('C372',  'Champak', 'Manjunath', 8543504, 'BJP', 79 , 1631, 'EL002');
INSERT INTO Candidate VALUES ('C373',  'Kripa', 'Bal', 9927577, 'INC', 79 , 1690, 'EL002');
INSERT INTO Candidate VALUES ('C374',  'Darpan', 'Nayak', 6386249, 'AAP', 79 , 1871, 'EL002');
INSERT INTO Candidate VALUES ('C375',  'Shambhavi', 'Moolya', 6912418, 'TMC', 79 , 2417, 'EL002');
INSERT INTO Candidate VALUES ('C376',  'Samarth', 'Holla', 6769822, 'DMK', 79 , 2668, 'EL002');
INSERT INTO Candidate VALUES ('C377',  'Atharv', 'Shetty', 6652569, 'JDU', 79 , 2781, 'EL002');
INSERT INTO Candidate VALUES ('C378',  'Anand', 'Saniel', 6315722, 'BJP', 80 , 1724, 'EL005');
INSERT INTO Candidate VALUES ('C379',  'Abhishek', 'Gupta', 5568944, 'INC', 80 , 1904, 'EL005');
INSERT INTO Candidate VALUES ('C380',  'Richa', 'Nayak', 5260667, 'JDU', 80 , 2163, 'EL005');
INSERT INTO Candidate VALUES ('C381',  'Amoli', 'Rao', 8934645, 'SS', 80 , 2285, 'EL005');
INSERT INTO Candidate VALUES ('C382',  'Shahistha', 'Anchan', 9653983, 'BJP', 81 , 1258, 'EL003');
INSERT INTO Candidate VALUES ('C383',  'Anitha', 'Uchil', 5834765, 'INC', 81 , 1309, 'EL003');
INSERT INTO Candidate VALUES ('C384',  'Abhinav', 'Nayak', 7837935, 'SP', 81 , 1410, 'EL003');
INSERT INTO Candidate VALUES ('C385',  'Nirav', 'Salian', 5356141, 'TRS', 81 , 1572, 'EL003');
INSERT INTO Candidate VALUES ('C386',  'Shabari', 'Dawangave', 9901039, 'DMK', 81 , 1891, 'EL003');
INSERT INTO Candidate VALUES ('C387',  'Ananya', 'Bal', 6609917, 'BJP', 82 , 1356, 'EL007');
INSERT INTO Candidate VALUES ('C388',  'Saloni', 'Anchan', 8982046, 'INC', 82 , 1480, 'EL007');
INSERT INTO Candidate VALUES ('C389',  'Ekapad', 'Bhoja', 7188939, 'TRS', 82 , 1556, 'EL007');
INSERT INTO Candidate VALUES ('C390',  'Nitesh', 'Dhamdhame', 7139651, 'BJP', 83 , 1377, 'EL002');
INSERT INTO Candidate VALUES ('C391',  'Ananth', 'Hiremath', 5457092, 'INC', 83 , 1380, 'EL002');
INSERT INTO Candidate VALUES ('C392',  'Anand', 'Vernekar', 5717212, 'SP', 83 , 1505, 'EL002');
INSERT INTO Candidate VALUES ('C393',  'Ekansh', 'Kumar', 5086640, 'TRS', 83 , 1746, 'EL002');
INSERT INTO Candidate VALUES ('C394',  'Prajna', 'Prajapati', 7541657, 'BJP', 84 , 1488, 'EL004');
INSERT INTO Candidate VALUES ('C395',  'Samesh', 'Rao', 9182456, 'INC', 84 , 1521, 'EL004');
INSERT INTO Candidate VALUES ('C396',  'Madhura', 'Mardhekar', 6303716, 'DMK', 84 , 2188, 'EL004');
INSERT INTO Candidate VALUES ('C397',  'Meghashree', 'Dawangave', 8649398, 'SP', 84 , 2382, 'EL004');
INSERT INTO Candidate VALUES ('C398',  'Hetal', 'Fernandes', 8692244, 'JDU', 84 , 2408, 'EL004');
INSERT INTO Candidate VALUES ('C399',  'Nehrika', 'Dsouza', 5120843, 'TMC', 84 , 2579, 'EL004');
INSERT INTO Candidate VALUES ('C400',  'Nandita', 'Kini', 8026285, 'BJP', 85 , 1059, 'EL006');
INSERT INTO Candidate VALUES ('C401',  'Vishrutha', 'Vernekar', 7344618, 'INC', 85 , 1064, 'EL006');
INSERT INTO Candidate VALUES ('C402',  'Tanveer', 'Mendonsa', 6223935, 'TRS', 85 , 1084, 'EL006');
INSERT INTO Candidate VALUES ('C403',  'Jeet', 'Kavser', 8234425, 'DMK', 85 , 1148, 'EL006');
INSERT INTO Candidate VALUES ('C404',  'Rohan', 'Belligatti', 6152574, 'BSP', 85 , 1204, 'EL006');
INSERT INTO Candidate VALUES ('C405',  'Ajay', 'Banerjee', 8605722, 'TMC', 85 , 1215, 'EL006');
INSERT INTO Candidate VALUES ('C406',  'Yashika', 'Bharanya', 8632947, 'BJP', 86 , 1594, 'EL005');
INSERT INTO Candidate VALUES ('C407',  'Anirudh', 'Saha', 9187599, 'INC', 86 , 1990, 'EL005');
INSERT INTO Candidate VALUES ('C408',  'Sita', 'Rai', 8317315, 'BSP', 86 , 2416, 'EL005');
INSERT INTO Candidate VALUES ('C409',  'Sneha', 'Dalvi', 8407060, 'TMC', 86 , 2750, 'EL005');
INSERT INTO Candidate VALUES ('C410',  'Meghashree', 'Keshri', 7441145, 'TRS', 86 , 3002, 'EL005');
INSERT INTO Candidate VALUES ('C411',  'Vibha', 'Mendonsa', 6965245, 'AAP', 86 , 3170, 'EL005');
INSERT INTO Candidate VALUES ('C412',  'Dev', 'Babu', 5052090, 'SP', 86 , 3965, 'EL005');
INSERT INTO Candidate VALUES ('C413',  'Aloke', 'Kamath', 8071363, 'BJP', 87 , 1169, 'EL006');
INSERT INTO Candidate VALUES ('C414',  'Omkaar', 'Salian', 7344678, 'INC', 87 , 1426, 'EL006');
INSERT INTO Candidate VALUES ('C415',  'Adyasa', 'Bhoja', 5089240, 'TRS', 87 , 1692, 'EL006');
INSERT INTO Candidate VALUES ('C416',  'Raj', 'Kumar', 8631359, 'TMC', 87 , 1810, 'EL006');
INSERT INTO Candidate VALUES ('C417',  'Nagraj', 'Suvarna', 6827511, 'DMK', 87 , 1914, 'EL006');
INSERT INTO Candidate VALUES ('C418',  'Akash', 'Padmanabha', 5571649, 'SS', 87 , 1933, 'EL006');
INSERT INTO Candidate VALUES ('C419',  'Abitha', 'Sullad', 6665369, 'SP', 87 , 1991, 'EL006');
INSERT INTO Candidate VALUES ('C420',  'Indrajit', 'Chiplunkar', 6696873, 'BJP', 88 , 1182, 'EL002');
INSERT INTO Candidate VALUES ('C421',  'Krish', 'Hiremath', 8676327, 'INC', 88 , 1260, 'EL002');
INSERT INTO Candidate VALUES ('C422',  'Siddharth', 'Thampy', 9474784, 'DMK', 88 , 1300, 'EL002');
INSERT INTO Candidate VALUES ('C423',  'Sushma', 'Kamath', 6773710, 'SS', 88 , 1490, 'EL002');
INSERT INTO Candidate VALUES ('C424',  'Rashmitha', 'Nand', 9681263, 'SP', 88 , 1527, 'EL002');
INSERT INTO Candidate VALUES ('C425',  'Sanjana', 'Gamskar', 6730571, 'BSP', 88 , 1627, 'EL002');
INSERT INTO Candidate VALUES ('C426',  'Ansh', 'Padmanabha', 9796392, 'BJP', 89 , 1762, 'EL008');
INSERT INTO Candidate VALUES ('C427',  'Pahal', 'Kamath', 8219461, 'INC', 89 , 2059, 'EL008');
INSERT INTO Candidate VALUES ('C428',  'Dhanush', 'Patil', 9973021, 'AAP', 89 , 2533, 'EL008');
INSERT INTO Candidate VALUES ('C429',  'Champak', 'Kini', 6523413, 'SS', 89 , 2654, 'EL008');
INSERT INTO Candidate VALUES ('C430',  'Soumyashree', 'Kumar', 9341176, 'BJP', 90 , 1963, 'EL001');
INSERT INTO Candidate VALUES ('C431',  'Sangeetha', 'Sullad', 8800311, 'INC', 90 , 2116, 'EL001');
INSERT INTO Candidate VALUES ('C432',  'Shaurya', 'Shenoy', 5887015, 'SP', 90 , 2146, 'EL001');
INSERT INTO Candidate VALUES ('C433',  'Prathiksha', 'Mugeraya', 5017907, 'DMK', 90 , 2320, 'EL001');
INSERT INTO Candidate VALUES ('C434',  'Vishrutha', 'Kulkarni', 6181629, 'BSP', 90 , 2716, 'EL001');
INSERT INTO Candidate VALUES ('C435',  'Shubha', 'Keshri', 5796929, 'TMC', 90 , 2907, 'EL001');
INSERT INTO Candidate VALUES ('C436',  'Naveen', 'Kini', 7497774, 'BJP', 91 , 1283, 'EL005');
INSERT INTO Candidate VALUES ('C437',  'Guneet', 'Bhat', 8476054, 'INC', 91 , 2397, 'EL005');
INSERT INTO Candidate VALUES ('C438',  'Surabhi', 'Saldanha', 5061620, 'TMC', 91 , 2432, 'EL005');
INSERT INTO Candidate VALUES ('C439',  'Nishitha', 'Hiremath', 9350796, 'SP', 91 , 2744, 'EL005');
INSERT INTO Candidate VALUES ('C440',  'Ekapad', 'Kouser', 6938002, 'JDU', 91 , 3110, 'EL005');
INSERT INTO Candidate VALUES ('C441',  'Dileep', 'Adiga', 9427900, 'BJP', 92 , 1357, 'EL001');
INSERT INTO Candidate VALUES ('C442',  'Hemang', 'Keshri', 6079448, 'INC', 92 , 1533, 'EL001');
INSERT INTO Candidate VALUES ('C443',  'Raghav', 'Manjunath', 8540023, 'TMC', 92 , 1781, 'EL001');
INSERT INTO Candidate VALUES ('C444',  'Mitesh', 'Dalvi', 8818987, 'SP', 92 , 1809, 'EL001');
INSERT INTO Candidate VALUES ('C445',  'Hiya', 'Acharya', 7880057, 'BSP', 92 , 1918, 'EL001');
INSERT INTO Candidate VALUES ('C446',  'Taara', 'Dhamdhame', 7575162, 'JDU', 92 , 2121, 'EL001');
INSERT INTO Candidate VALUES ('C447',  'Faraj', 'Salian', 6593339, 'TRS', 92 , 2144, 'EL001');
INSERT INTO Candidate VALUES ('C448',  'Shona', 'Andrade', 7406078, 'BJP', 93 , 1517, 'EL004');
INSERT INTO Candidate VALUES ('C449',  'Sushma', 'Dhamdhame', 6628902, 'INC', 93 , 1574, 'EL004');
INSERT INTO Candidate VALUES ('C450',  'Tanveer', 'Patil', 5290407, 'JDU', 93 , 1621, 'EL004');
INSERT INTO Candidate VALUES ('C451',  'Rashmitha', 'Belligatti', 6708702, 'TRS', 93 , 1628, 'EL004');
INSERT INTO Candidate VALUES ('C452',  'Kalpit', 'Jain', 6274130, 'TMC', 93 , 1895, 'EL004');
INSERT INTO Candidate VALUES ('C453',  'Reshma', 'Singh', 7083758, 'SP', 93 , 1907, 'EL004');
INSERT INTO Candidate VALUES ('C454',  'Veer', 'Holla', 6344467, 'BSP', 93 , 1975, 'EL004');
INSERT INTO Candidate VALUES ('C455',  'Naksh', 'Pujari', 9910903, 'BJP', 94 , 1814, 'EL008');
INSERT INTO Candidate VALUES ('C456',  'Rishi', 'Saniel', 6488448, 'INC', 94 , 2238, 'EL008');
INSERT INTO Candidate VALUES ('C457',  'Shilpa', 'Belligatti', 6581754, 'SS', 94 , 2649, 'EL008');
INSERT INTO Candidate VALUES ('C458',  'Savitha', 'Shayana', 8860411, 'BJP', 95 , 1360, 'EL002');
INSERT INTO Candidate VALUES ('C459',  'Gunbir', 'Banerjee', 7968564, 'INC', 95 , 1372, 'EL002');
INSERT INTO Candidate VALUES ('C460',  'Sushmitha', 'Hiremath', 5260298, 'DMK', 95 , 1485, 'EL002');
INSERT INTO Candidate VALUES ('C461',  'Manasa', 'Prabhakaran', 7807874, 'SS', 95 , 1535, 'EL002');
